ORPHA:10	48,XXYY syndrome	48,XXYY syndrome
ORPHA:100	Ataxia-telangiectasia	Ataxia-telangiectasia
ORPHA:100	Ataxia-telangiectasia	Louis-Bar syndrome
ORPHA:1000	Ocular albinism with late-onset sensorineural deafness	Ocular albinism with late-onset sensorineural deafness
ORPHA:100000	Reticular perineurioma	Reticular perineurioma
ORPHA:100001	Sclerosing perineurioma	Sclerosing perineurioma
ORPHA:100002	Extraneural perineurioma	Extraneural perineurioma
ORPHA:100002	Extraneural perineurioma	Soft tissue perineurioma
ORPHA:100003	Intraneural perineurioma	Intraneural perineurioma
ORPHA:100006	ABeta amyloidosis, Dutch type	ABeta amyloidosis, Dutch type
ORPHA:100006	ABeta amyloidosis, Dutch type	ABetaE22Q amyloidosis
ORPHA:100006	ABeta amyloidosis, Dutch type	HCHWA, Dutch type
ORPHA:100006	ABeta amyloidosis, Dutch type	HCHWA-D
ORPHA:100006	ABeta amyloidosis, Dutch type	Hereditary cerebral hemorrhage with amyloidosis, Dutch type
ORPHA:100008	ACys amyloidosis	ACys amyloidosis
ORPHA:100008	ACys amyloidosis	CST3-related amyloidosis
ORPHA:100008	ACys amyloidosis	Cystatin amyloidosis
ORPHA:100008	ACys amyloidosis	HCHWA, Icelandic type
ORPHA:100008	ACys amyloidosis	Hereditary cerebral hemorrhage with amyloidosis, Icelandic type
ORPHA:100008	ACys amyloidosis	Hereditary cystatin C amyloid angiopathy
ORPHA:100011	Lissencephaly with cerebellar hypoplasia type A	Lissencephaly with cerebellar hypoplasia type A
ORPHA:100012	Lissencephaly with cerebellar hypoplasia type B	Lissencephaly with cerebellar hypoplasia type B
ORPHA:100013	Lissencephaly with cerebellar hypoplasia type C	Lissencephaly with cerebellar hypoplasia type C
ORPHA:100014	Lissencephaly with cerebellar hypoplasia type D	Lissencephaly with cerebellar hypoplasia type D
ORPHA:100015	Lissencephaly with cerebellar hypoplasia type E	Lissencephaly with cerebellar hypoplasia type E
ORPHA:100016	Lissencephaly with cerebellar hypoplasia type F	Lissencephaly with cerebellar hypoplasia type F
ORPHA:100019	Refractory anemia with excess blasts type 1	Refractory anemia with excess blasts type 1
ORPHA:100019	Refractory anemia with excess blasts type 1	RAEB-1
ORPHA:100020	Refractory anemia with excess blasts type 2	Refractory anemia with excess blasts type 2
ORPHA:100020	Refractory anemia with excess blasts type 2	RAEB-2
